City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,50.11,light rain,-53.15,-70.9167,Hotel Hain
1,Puerto Ayora,EC,68.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Xuddur,SO,67.91,few clouds,4.1213,43.8894,Banjanay Hotel
4,Kruisfontein,ZA,61.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
6,Mataura,NZ,60.48,broken clouds,-46.1927,168.8643,Ellie's Villa
7,Cabo San Lucas,MX,74.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
8,Hermanus,ZA,59.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
9,San Cristobal,VE,69.98,few clouds,7.7669,-72.225,Pirineos
11,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
12,Kaitangata,NZ,62.65,broken clouds,-46.2817,169.8464,
13,Yulara,AU,77.65,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
14,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
15,Nokaneng,BW,72.88,overcast clouds,-19.6667,22.2667,
16,Russell,US,55.0,overcast clouds,32.3502,-85.1999,Macs
17,Rikitea,PF,73.69,light rain,-23.1203,-134.9692,People ThankYou
18,Arraial Do Cabo,BR,73.58,light rain,-22.9661,-42.0278,Pousada Porto Praia
20,Georgetown,MY,82.24,few clouds,5.4112,100.3354,Cititel Penang
21,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,Le four à pain
24,East London,ZA,65.71,clear sky,-33.0153,27.9116,Tu Casa
27,Castro,BR,59.74,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
28,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
29,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Calypso Cove
31,Karratha,AU,85.78,broken clouds,-20.7377,116.8463,ibis Styles Karratha
32,Bluff,NZ,60.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
33,Yatsuo,JP,53.22,moderate rain,36.5667,137.1333,和み処 合掌
36,Hambantota,LK,78.35,broken clouds,6.1241,81.1185,Bungalow 63
38,Bubaque,GW,83.19,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
40,Atuona,PF,78.58,light rain,-9.8,-139.0333,Villa Enata
41,Hobart,AU,66.06,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
44,Dong Xoai,VN,77.58,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
45,Busselton,AU,76.1,scattered clouds,-33.65,115.3333,Observatory Guest House
46,Namatanai,PG,85.59,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
50,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
52,Port Alfred,ZA,62.19,clear sky,-33.5906,26.891,The Halyards Hotel & Spa
53,Sabla,NG,69.24,clear sky,12.7525,4.7077,
54,Bengkulu,ID,75.74,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
55,Markala,ML,71.17,broken clouds,13.7021,-6.0659,Hôtel Igor
56,Hasaki,JP,55.8,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
59,Luwuk,ID,85.37,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
62,Ankang,CN,55.45,overcast clouds,32.68,109.0172,安琪酒店
65,Conakry,GN,81.12,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
68,Meulaboh,ID,78.46,broken clouds,4.1363,96.1285,Kost Pria
70,Hithadhoo,MV,80.4,overcast clouds,-0.6,73.0833,Scoop Guest House
71,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
72,Ponta Do Sol,PT,67.71,scattered clouds,32.6667,-17.1,
77,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
78,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
79,Bara,NG,67.03,clear sky,10.3744,10.7288,
80,Palmas De Monte Alto,BR,70.56,overcast clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
81,Kingaroy,AU,82.22,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
83,Mar Del Plata,AR,57.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
84,Gushikawa,JP,73.4,moderate rain,26.3544,127.8686,Kirari Guest House
86,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
89,Kavieng,PG,86.31,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
90,Los Llanos De Aridane,ES,65.95,overcast clouds,28.6585,-17.9182,Valle Aridane
93,Huarmey,PE,65.7,clear sky,-10.0681,-78.1522,Hotel Miramar
99,Vanimo,PG,85.21,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
100,Eureka,US,57.25,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
105,Kaeo,NZ,74.32,clear sky,-35.1,173.7833,Bushido Lodge
106,Vao,NC,76.78,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
108,Maceio,BR,72.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
109,Bulalacao,PH,83.77,overcast clouds,12.3254,121.3435,By The Sea Hotels
110,Vila Velha,BR,75.15,light rain,-20.3297,-40.2925,Hotel Vitória Palace
114,Qui Nhon,VN,79.56,overcast clouds,13.7667,109.2333,Seagull Hotel
115,Ambilobe,MG,71.64,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
118,Gat,IL,61.81,clear sky,31.61,34.7642,OlusHome
119,Esperance,AU,75.7,overcast clouds,-33.8667,121.9,Hospitality Esperance
120,Balclutha,NZ,67.59,broken clouds,-46.2339,169.75,Rosebank Lodge Motor Hotel
121,Adrar,MR,58.96,clear sky,20.5022,-10.0711,
122,Joura,IN,61.27,broken clouds,26.3411,77.8115,Shubh medical store joura
123,Codrington,AU,59.81,broken clouds,-38.2667,141.9667,
125,Isangel,VU,84.74,broken clouds,-19.55,169.2667,Tanna Lodge
127,Blackwater,AU,84.45,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
128,Avera,US,54.37,overcast clouds,33.194,-82.5271,
129,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
130,Awjilah,LY,59.5,clear sky,29.1081,21.2869,
131,Guerrero Negro,MX,64.76,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
136,Sijunjung,ID,81.97,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
137,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
138,Birao,CF,71.2,scattered clouds,10.2849,22.7882,
139,Algiers,DZ,55.22,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
143,Carnarvon,AU,76.51,clear sky,-24.8667,113.6333,Hospitality Carnarvon
144,Port Lincoln,AU,61.36,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
145,Christchurch,NZ,74.41,clear sky,-43.5333,172.6333,The George
146,Sambava,MG,72.1,overcast clouds,-14.2667,50.1667,Melrose
149,Mbaiki,CF,69.17,clear sky,3.8678,17.9892,Motel MBM
151,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
153,Poum,NC,79.41,overcast clouds,-20.2333,164.0167,
157,Jamkhed,IN,67.21,scattered clouds,18.7362,75.3121,Ugale's Residence
158,Tayu,ID,83.37,moderate rain,-6.5397,111.0518,Toko pakaian bu is Tayu
159,Munirabad,IN,71.94,overcast clouds,15.3333,76.3333,Pranathi Tiffin Center
160,Port Augusta,AU,70.61,clear sky,-32.5,137.7667,Majestic Oasis Apartments
162,Pitrufquen,CL,57.22,overcast clouds,-38.9833,-72.65,El Amable Refugio
164,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
168,Cape Town,ZA,61.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
169,Lagunas,PE,75.67,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
170,Flinders,AU,77.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
171,New Norfolk,AU,65.71,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
172,Voh,NC,87.87,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
173,Lebu,CL,56.71,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
175,Rawson,AR,72.7,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
176,Bandarbeyla,SO,75.94,overcast clouds,9.4942,50.8122,JABIR HOTEL
178,Kieta,PG,86.59,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
179,Sungairaya,ID,86.43,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
181,Teahupoo,PF,78.76,overcast clouds,-17.8333,-149.2667,Vanira Lodge
