City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-08-06 17:17:46,-23.1203,-134.9692,69.01,63,84,18.48
1,Faanui,PF,2022-08-06 17:19:01,-16.4833,-151.75,77.9,76,71,24.7
2,Punta Arenas,CL,2022-08-06 17:14:28,-53.15,-70.9167,39.31,81,75,6.91
3,Vardo,NO,2022-08-06 17:19:02,70.3705,31.1107,51.78,93,100,10.36
4,Mandleshwar,IN,2022-08-06 17:19:03,22.1833,75.6667,82.35,81,99,4.76
5,Ushuaia,AR,2022-08-06 17:19:03,-54.8,-68.3,35.26,80,0,3.44
6,Hermanus,ZA,2022-08-06 17:19:04,-34.4187,19.2345,56.8,75,99,22.64
7,Kapaa,US,2022-08-06 17:19:04,22.0752,-159.319,73.72,94,75,4.61
8,Tangermunde,DE,2022-08-06 17:19:05,52.5446,11.9765,71.94,30,56,1.99
9,Butaritari,KI,2022-08-06 17:19:05,3.0707,172.7902,81.84,77,83,15.12
10,Pevek,RU,2022-08-06 17:16:01,69.7008,170.3133,35.4,99,100,3.53
11,Cape Town,ZA,2022-08-06 17:17:25,-33.9258,18.4232,59.92,74,0,12.66
12,Hobart,AU,2022-08-06 17:19:06,-42.8794,147.3294,42.66,89,100,9.22
13,Ewa Beach,US,2022-08-06 17:19:07,21.3156,-158.0072,79.59,80,0,4.61
14,Kaeo,NZ,2022-08-06 17:19:07,-35.1,173.7833,59.32,95,100,10.83
15,Bluff,NZ,2022-08-06 17:19:08,-46.6,168.3333,40.53,96,86,19.46
16,Bukavu,CD,2022-08-06 17:19:08,-2.5083,28.8608,65.59,70,72,0.94
17,Vaini,TO,2022-08-06 17:19:09,-21.2,-175.2,71.76,94,20,10.36
18,Dikson,RU,2022-08-06 17:19:09,73.5069,80.5464,42.17,97,98,10.4
19,Qaanaaq,GL,2022-08-06 17:19:10,77.484,-69.3632,42.71,56,100,2.39
20,Khatanga,RU,2022-08-06 17:19:11,71.9667,102.5,53.82,82,17,1.28
21,Southbridge,US,2022-08-06 17:19:11,42.0751,-72.0334,94.12,65,50,3.0
22,Anadyr,RU,2022-08-06 17:19:12,64.75,177.4833,54.1,76,75,4.47
23,Veraval,IN,2022-08-06 17:19:12,20.9,70.3667,81.68,86,57,9.8
24,Aklavik,CA,2022-08-06 17:19:13,68.2191,-135.0107,57.2,94,100,4.61
25,Torbay,CA,2022-08-06 17:15:26,47.6666,-52.7314,80.89,72,75,10.36
26,Takoradi,GH,2022-08-06 17:19:14,4.8845,-1.7554,76.06,73,4,9.71
27,Atuona,PF,2022-08-06 17:19:14,-9.8,-139.0333,76.89,77,65,18.39
28,Pontivy,FR,2022-08-06 17:19:15,48.0,-3.0,77.58,31,0,20.04
29,Castro,BR,2022-08-06 17:19:15,-24.7911,-50.0119,66.83,63,99,7.83
30,Naryan-Mar,RU,2022-08-06 17:19:16,67.6713,53.087,73.83,65,57,7.45
31,Avarua,CK,2022-08-06 17:19:17,-21.2078,-159.775,73.45,68,75,13.8
32,Mundo Nuevo,MX,2022-08-06 17:19:17,18.7,-95.5,84.49,64,32,5.93
33,Neiafu,TO,2022-08-06 17:19:18,-18.65,-173.9833,75.88,88,75,5.75
34,Tuktoyaktuk,CA,2022-08-06 17:19:18,69.4541,-133.0374,57.2,94,100,14.97
35,Saint-Augustin,CA,2022-08-06 17:19:19,51.226,-58.6502,77.22,31,72,12.24
36,Bemidji,US,2022-08-06 17:19:19,47.4736,-94.8803,69.91,64,40,8.05
37,Laela,TZ,2022-08-06 17:19:20,-8.5667,32.05,65.14,38,73,1.88
38,Bambanglipuro,ID,2022-08-06 17:19:20,-7.95,110.2833,75.69,87,100,9.35
39,Mashivka,UA,2022-08-06 17:19:21,49.4431,34.8669,76.15,52,14,6.24
40,Komsomolskiy,UZ,2022-08-06 17:19:21,40.4272,71.7189,82.67,24,2,7.16
41,Mbandaka,CD,2022-08-06 17:19:22,0.0487,18.2603,77.7,70,97,1.68
42,Pisco,PE,2022-08-06 17:19:22,-13.7,-76.2167,65.01,82,75,9.22
43,Havoysund,NO,2022-08-06 17:19:23,70.9963,24.6622,61.03,68,91,13.09
44,Nikolskoye,RU,2022-08-06 17:19:23,59.7035,30.7861,63.79,97,100,10.76
45,Bredasdorp,ZA,2022-08-06 17:19:24,-34.5322,20.0403,55.58,75,100,17.9
46,Thompson,CA,2022-08-06 17:15:26,55.7435,-97.8558,62.76,55,40,5.75
47,Ayan,RU,2022-08-06 17:20:25,56.45,138.1667,54.63,94,100,19.66
48,Port Elizabeth,ZA,2022-08-06 17:20:25,-33.918,25.5701,58.1,96,75,8.05
49,Mahebourg,MU,2022-08-06 17:18:20,-20.4081,57.7,70.09,83,40,11.5
50,Chlorakas,CY,2022-08-06 17:20:26,34.8042,32.4083,81.48,69,40,11.5
51,Cayenne,GF,2022-08-06 17:16:25,4.9333,-52.3333,91.44,28,40,8.05
52,Prabumulih,ID,2022-08-06 17:20:27,-3.45,104.25,73.09,97,32,2.8
53,Niquelandia,BR,2022-08-06 17:16:39,-14.4739,-48.4597,96.71,15,58,3.31
54,Yellowknife,CA,2022-08-06 17:15:35,62.456,-114.3525,64.92,63,75,15.01
55,Talnakh,RU,2022-08-06 17:15:50,69.4865,88.3972,56.21,95,94,3.76
56,Puerto Ayora,EC,2022-08-06 17:20:29,-0.7393,-90.3518,76.96,91,92,11.99
57,Atambua,ID,2022-08-06 17:20:29,-9.1061,124.8925,71.1,90,96,4.09
58,Mataura,NZ,2022-08-06 17:20:30,-46.1927,168.8643,40.73,97,92,6.98
59,Tilichiki,RU,2022-08-06 17:20:30,60.4667,166.1,51.24,94,96,4.45
60,Cockburn Town,TC,2022-08-06 17:20:31,21.4612,-71.1419,82.2,77,11,18.39
61,Moerai,PF,2022-08-06 17:20:31,-22.4333,-151.3333,70.3,68,94,24.05
62,Ternate,ID,2022-08-06 17:20:32,0.8,127.4,79.23,83,99,2.66
63,Upernavik,GL,2022-08-06 17:18:09,72.7868,-56.1549,39.65,94,80,11.88
64,Ribeira Grande,PT,2022-08-06 17:20:33,38.5167,-28.7,77.4,78,20,8.05
65,Mount Gambier,AU,2022-08-06 17:20:33,-37.8333,140.7667,46.83,91,94,4.59
66,Katsuura,JP,2022-08-06 17:20:34,35.1333,140.3,75.51,85,71,5.46
67,Rudbar,AF,2022-08-06 17:20:34,30.15,62.6,95.14,11,0,15.32
68,Ballina,AU,2022-08-06 17:20:35,-28.8667,153.5667,51.84,68,0,8.61
69,Hilo,US,2022-08-06 17:17:38,19.7297,-155.09,77.29,93,75,4.61
70,Capao Da Canoa,BR,2022-08-06 17:20:35,-29.7456,-50.0097,56.64,68,69,7.78
71,Tasiilaq,GL,2022-08-06 17:20:36,65.6145,-37.6368,44.76,80,100,14.09
72,Busselton,AU,2022-08-06 17:20:36,-33.65,115.3333,52.83,92,57,11.48
73,Chokurdakh,RU,2022-08-06 17:20:37,70.6333,147.9167,35.76,94,100,7.99
74,Saint-Philippe,RE,2022-08-06 17:20:38,-21.3585,55.7679,67.59,72,58,5.7
75,Mabaruma,GY,2022-08-06 17:20:38,8.2,-59.7833,90.7,49,54,5.41
