City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,50.11,62,20,18.41,light rain
1,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,48,1.01,scattered clouds
2,Xuddur,SO,4.1213,43.8894,67.91,85,12,11.07,few clouds
3,Fort Nelson,CA,58.8053,-122.7002,25.95,83,3,4.41,clear sky
4,Kruisfontein,ZA,-34.0033,24.7314,61.88,90,3,4.61,clear sky
5,Albany,US,42.6001,-73.9662,36.3,71,10,4.18,clear sky
6,Mataura,NZ,-46.1927,168.8643,60.48,32,59,8.79,broken clouds
7,Cabo San Lucas,MX,22.8909,-109.9124,74.52,75,0,6.91,clear sky
8,Hermanus,ZA,-34.4187,19.2345,59.81,76,4,5.55,clear sky
9,San Cristobal,VE,7.7669,-72.225,69.98,97,22,1.86,few clouds
10,Longyearbyen,SJ,78.2186,15.6401,37.24,65,75,18.41,broken clouds
11,Avarua,CK,-21.2078,-159.775,78.85,69,100,20.71,overcast clouds
12,Kaitangata,NZ,-46.2817,169.8464,62.65,46,68,5.77,broken clouds
13,Yulara,AU,-25.2406,130.9889,77.65,26,100,15.23,overcast clouds
14,Nisia Floresta,BR,-6.0911,-35.2086,79.18,68,98,10.07,overcast clouds
15,Nokaneng,BW,-19.6667,22.2667,72.88,64,95,7.83,overcast clouds
16,Russell,US,32.3502,-85.1999,55.0,69,100,3.69,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,73.69,86,47,11.95,light rain
18,Arraial Do Cabo,BR,-22.9661,-42.0278,73.58,88,100,23.04,light rain
19,Normal,US,40.5142,-88.9906,43.95,65,0,8.05,clear sky
20,Georgetown,MY,5.4112,100.3354,82.24,88,20,3.44,few clouds
21,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,85,6.67,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,10.24,79,44,4.99,scattered clouds
23,Provideniya,RU,64.3833,-173.3,14.11,52,40,20.13,scattered clouds
24,East London,ZA,-33.0153,27.9116,65.71,86,6,9.31,clear sky
25,Torbay,CA,47.6666,-52.7314,32.58,87,75,25.32,broken clouds
26,Wanaka,NZ,-44.7,169.15,49.71,84,99,8.34,overcast clouds
27,Castro,BR,-24.7911,-50.0119,59.74,94,100,2.1,overcast clouds
28,Hirara,JP,24.8,125.2833,79.07,83,75,10.36,broken clouds
29,West Bay,KY,19.3667,-81.4167,82.47,81,20,6.91,few clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,10.0,95,100,11.61,overcast clouds
31,Karratha,AU,-20.7377,116.8463,85.78,46,77,8.55,broken clouds
32,Bluff,NZ,-46.6,168.3333,60.8,55,63,6.13,broken clouds
33,Yatsuo,JP,36.5667,137.1333,53.22,90,75,0.0,moderate rain
34,Roros,NO,62.5747,11.3842,26.44,86,100,5.75,overcast clouds
35,Upernavik,GL,72.7868,-56.1549,19.26,77,89,4.81,overcast clouds
36,Hambantota,LK,6.1241,81.1185,78.35,79,73,10.83,broken clouds
37,Talnakh,RU,69.4865,88.3972,-19.89,98,100,1.77,overcast clouds
38,Bubaque,GW,11.2833,-15.8333,83.19,63,86,3.62,overcast clouds
39,Dikson,RU,73.5069,80.5464,-15.36,92,100,7.94,overcast clouds
40,Atuona,PF,-9.8,-139.0333,78.58,72,44,18.92,light rain
41,Hobart,AU,-42.8794,147.3294,66.06,45,20,14.97,few clouds
42,Narsaq,GL,60.9167,-46.05,34.02,75,100,7.65,overcast clouds
43,Thompson,CA,55.7435,-97.8558,24.96,93,100,2.3,mist
44,Dong Xoai,VN,11.5333,106.9167,77.58,92,100,4.92,overcast clouds
45,Busselton,AU,-33.65,115.3333,76.1,46,42,8.41,scattered clouds
46,Namatanai,PG,-3.6667,152.4333,85.59,65,73,9.46,broken clouds
47,Shelburne,CA,44.0787,-80.2041,34.25,83,100,8.99,overcast clouds
48,Xining,CN,36.6167,101.7667,36.32,46,16,2.64,few clouds
49,Laukaa,RU,58.7372,29.8453,24.64,95,100,6.08,light snow
50,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,75,3.44,broken clouds
51,Yellowknife,CA,62.456,-114.3525,27.12,100,100,6.91,light snow
52,Port Alfred,ZA,-33.5906,26.891,62.19,95,4,8.16,clear sky
53,Sabla,NG,12.7525,4.7077,69.24,15,7,13.35,clear sky
54,Bengkulu,ID,-3.8004,102.2655,75.74,91,100,10.8,moderate rain
55,Markala,ML,13.7021,-6.0659,71.17,17,76,9.66,broken clouds
56,Hasaki,JP,35.7333,140.8333,55.8,86,100,17.81,moderate rain
57,Kodiak,US,57.79,-152.4072,29.71,64,100,16.11,light snow
58,Barrow,US,71.2906,-156.7887,10.42,92,100,20.71,light snow
59,Luwuk,ID,-0.9516,122.7875,85.37,68,100,2.46,overcast clouds
60,Nikolskoye,RU,59.7035,30.7861,26.49,95,100,6.33,light snow
61,Egvekinot,RU,66.3167,-179.1667,-14.96,86,100,10.18,overcast clouds
62,Ankang,CN,32.68,109.0172,55.45,79,100,0.65,overcast clouds
63,Sobolevo,RU,54.4299,31.8996,22.01,97,92,5.73,overcast clouds
64,Khatanga,RU,71.9667,102.5,-35.7,100,43,4.56,scattered clouds
